TIPO_DE_CARREGAMENTO_ENTRADA,ARQUITETURA_ANSATZ,OTIMIZADOR,BASE_DE_DADOS,SAMPLE,METRICA_NAO_SUPERVISIONADA,INDICE_DIVISAO_BASE_DE_DADOS,ACURACIA_TREINAMENTO,ACURACIA_TESTE
True,0,AdamOptimizer,blobs_2classes_2features_500samples_high_noise,12,MSE,0.7,0.7628571428571429,0.7433333333333333
True,0,AdamOptimizer,blobs_2classes_2features_500samples_high_noise,13,MSE,0.7,0.7657142857142857,0.7533333333333333
True,0,AdamOptimizer,blobs_2classes_2features_500samples_high_noise,14,MSE,0.7,0.7457142857142857,0.8033333333333333
True,0,AdamOptimizer,blobs_2classes_2features_500samples_high_noise,15,MSE,0.7,0.7614285714285715,0.7666666666666667
True,0,AdamOptimizer,blobs_2classes_2features_500samples_high_noise,16,MSE,0.7,0.7628571428571429,0.77
True,0,AdamOptimizer,blobs_2classes_2features_500samples_high_noise,17,MSE,0.7,0.76,0.7533333333333333
True,0,AdamOptimizer,blobs_2classes_2features_500samples_high_noise,18,MSE,0.7,0.7528571428571429,0.7633333333333333
True,0,AdamOptimizer,blobs_2classes_2features_500samples_high_noise,19,MSE,0.7,0.7571428571428571,0.77
True,0,AdamOptimizer,blobs_2classes_2features_500samples_high_noise,20,MSE,0.7,0.7557142857142857,0.7366666666666667
True,0,AdamOptimizer,blobs_2classes_2features_500samples_high_noise,21,MSE,0.7,0.7657142857142857,0.7366666666666667
True,0,AdamOptimizer,blobs_2classes_2features_500samples_high_noise,22,MSE,0.7,0.7628571428571429,0.7466666666666667
True,0,AdamOptimizer,blobs_2classes_2features_500samples_high_noise,23,MSE,0.7,0.76,0.76
True,0,AdamOptimizer,blobs_2classes_2features_500samples_high_noise,24,MSE,0.7,0.7485714285714286,0.7933333333333333
True,0,AdamOptimizer,blobs_2classes_2features_500samples_high_noise,25,MSE,0.7,0.77,0.7266666666666667
True,0,AdamOptimizer,blobs_2classes_2features_500samples_high_noise,26,MSE,0.7,0.7642857142857142,0.75
True,0,AdamOptimizer,blobs_2classes_2features_500samples_high_noise,27,MSE,0.7,0.7628571428571429,0.7433333333333333
True,0,AdamOptimizer,blobs_2classes_2features_500samples_high_noise,28,MSE,0.7,0.7657142857142857,0.7566666666666667
True,0,AdamOptimizer,blobs_2classes_2features_500samples_high_noise,29,MSE,0.7,0.7542857142857143,0.77
True,0,AdamOptimizer,blobs_2classes_2features_500samples_low_noise,0,MSE,0.7,0.8128571428571428,0.82
True,0,AdamOptimizer,blobs_2classes_2features_500samples_low_noise,1,MSE,0.7,0.8114285714285714,0.8233333333333334
True,0,AdamOptimizer,blobs_2classes_2features_500samples_low_noise,2,MSE,0.7,0.8128571428571428,0.8466666666666667
True,0,AdamOptimizer,blobs_2classes_2features_500samples_low_noise,3,MSE,0.7,0.8085714285714286,0.8333333333333334
True,0,AdamOptimizer,blobs_2classes_2features_500samples_low_noise,4,MSE,0.7,0.81,0.83
True,0,AdamOptimizer,blobs_2classes_2features_500samples_low_noise,5,MSE,0.7,0.8228571428571428,0.81
True,0,AdamOptimizer,blobs_2classes_2features_500samples_low_noise,6,MSE,0.7,0.8142857142857143,0.8166666666666667
True,0,AdamOptimizer,blobs_2classes_2features_500samples_low_noise,7,MSE,0.7,0.8114285714285714,0.84
True,0,AdamOptimizer,blobs_2classes_2features_500samples_low_noise,8,MSE,0.7,0.8228571428571428,0.81
True,0,AdamOptimizer,blobs_2classes_2features_500samples_low_noise,9,MSE,0.7,0.8228571428571428,0.79
True,0,AdamOptimizer,blobs_2classes_2features_500samples_low_noise,10,MSE,0.7,0.8285714285714286,0.7766666666666666
True,0,AdamOptimizer,blobs_2classes_2features_500samples_low_noise,11,MSE,0.7,0.8114285714285714,0.8266666666666667
True,0,AdamOptimizer,blobs_2classes_2features_500samples_low_noise,12,MSE,0.7,0.8185714285714286,0.8233333333333334
True,0,AdamOptimizer,blobs_2classes_2features_500samples_low_noise,13,MSE,0.7,0.8128571428571428,0.84
True,0,AdamOptimizer,blobs_2classes_2features_500samples_low_noise,14,MSE,0.7,0.8285714285714286,0.7733333333333333
True,0,AdamOptimizer,blobs_2classes_2features_500samples_low_noise,15,MSE,0.7,0.8214285714285714,0.7933333333333333
True,0,AdamOptimizer,blobs_2classes_2features_500samples_low_noise,16,MSE,0.7,0.8242857142857143,0.7933333333333333
True,0,AdamOptimizer,blobs_2classes_2features_500samples_low_noise,17,MSE,0.7,0.8114285714285714,0.8133333333333334
True,0,AdamOptimizer,blobs_2classes_2features_500samples_low_noise,18,MSE,0.7,0.8142857142857143,0.81
True,0,AdamOptimizer,blobs_2classes_2features_500samples_low_noise,19,MSE,0.7,0.8242857142857143,0.7833333333333333
True,0,AdamOptimizer,blobs_2classes_2features_500samples_low_noise,20,MSE,0.7,0.81,0.8233333333333334
True,0,AdamOptimizer,blobs_2classes_2features_500samples_low_noise,21,MSE,0.7,0.82,0.8066666666666666
True,0,AdamOptimizer,blobs_2classes_2features_500samples_low_noise,22,MSE,0.7,0.8228571428571428,0.81
True,0,AdamOptimizer,blobs_2classes_2features_500samples_low_noise,23,MSE,0.7,0.8142857142857143,0.8266666666666667
True,0,AdamOptimizer,blobs_2classes_2features_500samples_low_noise,24,MSE,0.7,0.83,0.79
True,0,AdamOptimizer,blobs_2classes_2features_500samples_low_noise,25,MSE,0.7,0.8128571428571428,0.8233333333333334
True,0,AdamOptimizer,blobs_2classes_2features_500samples_low_noise,26,MSE,0.7,0.8171428571428572,0.82
True,0,AdamOptimizer,blobs_2classes_2features_500samples_low_noise,27,MSE,0.7,0.82,0.8033333333333333
True,0,AdamOptimizer,blobs_2classes_2features_500samples_low_noise,28,MSE,0.7,0.82,0.8033333333333333
True,0,AdamOptimizer,blobs_2classes_2features_500samples_low_noise,29,MSE,0.7,0.8171428571428572,0.82
True,0,AdamOptimizer,blobs_2classes_2features_500samples_no_noise,0,MSE,0.7,0.8128571428571428,0.8433333333333334
True,0,AdamOptimizer,blobs_2classes_2features_500samples_no_noise,1,MSE,0.7,0.8214285714285714,0.8233333333333334
True,0,AdamOptimizer,blobs_2classes_2features_500samples_no_noise,2,MSE,0.7,0.8285714285714286,0.7966666666666666
True,0,AdamOptimizer,blobs_2classes_2features_500samples_no_noise,3,MSE,0.7,0.8157142857142857,0.8333333333333334
True,0,AdamOptimizer,blobs_2classes_2features_500samples_no_noise,4,MSE,0.7,0.8228571428571428,0.8133333333333334
True,0,AdamOptimizer,blobs_2classes_2features_500samples_no_noise,5,MSE,0.7,0.8171428571428572,0.8333333333333334
True,0,AdamOptimizer,blobs_2classes_2features_500samples_no_noise,6,MSE,0.7,0.8271428571428572,0.8
True,0,AdamOptimizer,blobs_2classes_2features_500samples_no_noise,7,MSE,0.7,0.82,0.8266666666666667
True,0,AdamOptimizer,blobs_2classes_2features_500samples_no_noise,8,MSE,0.7,0.8242857142857143,0.8166666666666667
True,0,AdamOptimizer,blobs_2classes_2features_500samples_no_noise,9,MSE,0.7,0.8157142857142857,0.84
True,0,AdamOptimizer,blobs_2classes_2features_500samples_no_noise,10,MSE,0.7,0.82,0.8233333333333334
True,0,AdamOptimizer,blobs_2classes_2features_500samples_no_noise,11,MSE,0.7,0.8128571428571428,0.8366666666666667
True,0,AdamOptimizer,blobs_2classes_2features_500samples_no_noise,12,MSE,0.7,0.8271428571428572,0.8033333333333333
True,0,AdamOptimizer,blobs_2classes_2features_500samples_no_noise,13,MSE,0.7,0.8214285714285714,0.82
True,0,AdamOptimizer,blobs_2classes_2features_500samples_no_noise,14,MSE,0.7,0.8228571428571428,0.8166666666666667
True,0,AdamOptimizer,blobs_2classes_2features_500samples_no_noise,15,MSE,0.7,0.8285714285714286,0.7966666666666666
True,0,AdamOptimizer,blobs_2classes_2features_500samples_no_noise,16,MSE,0.7,0.8171428571428572,0.8333333333333334
True,0,AdamOptimizer,blobs_2classes_2features_500samples_no_noise,17,MSE,0.7,0.8114285714285714,0.85
True,0,AdamOptimizer,blobs_2classes_2features_500samples_no_noise,18,MSE,0.7,0.8271428571428572,0.8066666666666666
True,0,AdamOptimizer,blobs_2classes_2features_500samples_no_noise,19,MSE,0.7,0.8142857142857143,0.84
True,0,AdamOptimizer,blobs_2classes_2features_500samples_no_noise,20,MSE,0.7,0.8271428571428572,0.81
True,0,AdamOptimizer,blobs_2classes_2features_500samples_no_noise,21,MSE,0.7,0.8142857142857143,0.8666666666666667
True,0,AdamOptimizer,blobs_2classes_2features_500samples_no_noise,22,MSE,0.7,0.82,0.8266666666666667
True,0,AdamOptimizer,blobs_2classes_2features_500samples_no_noise,23,MSE,0.7,0.8257142857142857,0.8133333333333334
True,0,AdamOptimizer,blobs_2classes_2features_500samples_no_noise,24,MSE,0.7,0.8142857142857143,0.84
True,0,AdamOptimizer,blobs_2classes_2features_500samples_no_noise,25,MSE,0.7,0.82,0.8233333333333334
True,0,AdamOptimizer,blobs_2classes_2features_500samples_no_noise,26,MSE,0.7,0.8114285714285714,0.8533333333333334
True,0,AdamOptimizer,blobs_2classes_2features_500samples_no_noise,27,MSE,0.7,0.8214285714285714,0.82
True,0,AdamOptimizer,blobs_2classes_2features_500samples_no_noise,28,MSE,0.7,0.8142857142857143,0.8433333333333334
True,0,AdamOptimizer,blobs_2classes_2features_500samples_no_noise,29,MSE,0.7,0.8128571428571428,0.85
True,0,AdamOptimizer,circles_50samples_high_noise,0,MSE,0.7,0.5142857142857142,0.5666666666666667
True,0,AdamOptimizer,circles_50samples_high_noise,1,MSE,0.7,0.5142857142857142,0.5333333333333333
True,0,AdamOptimizer,circles_50samples_high_noise,2,MSE,0.7,0.5285714285714286,0.5333333333333333
True,0,AdamOptimizer,circles_50samples_high_noise,3,MSE,0.7,0.5428571428571428,0.43333333333333335
True,0,AdamOptimizer,circles_50samples_high_noise,4,MSE,0.7,0.5,0.4666666666666667
True,0,AdamOptimizer,circles_50samples_high_noise,5,MSE,0.7,0.5428571428571428,0.43333333333333335
True,0,AdamOptimizer,circles_50samples_high_noise,6,MSE,0.7,0.5428571428571428,0.5
True,0,AdamOptimizer,circles_50samples_high_noise,7,MSE,0.7,0.5571428571428572,0.5
True,0,AdamOptimizer,circles_50samples_high_noise,8,MSE,0.7,0.5142857142857142,0.4666666666666667
True,0,AdamOptimizer,circles_50samples_high_noise,9,MSE,0.7,0.5714285714285714,0.3
True,0,AdamOptimizer,circles_50samples_high_noise,10,MSE,0.7,0.5285714285714286,0.4
